geo_code,class,Comments,Look into
E01023861,rising population falling cars,,
E01023859,stable population falling cars,,
E01017844,rising population stable cars,,
E01017796,rising population stable cars,,
E01032704,rising population slowly rising cars,,
E01003674,rising population stable cars,,
E01021277,rising population stable cars,,
E01015564,rising population stable cars,,
E01017896,rising population falling cars,,
E01033589,rising population falling cars,,
E01032708,rising population falling cars,,
E01033704,rising population stable cars,,
E01000862,rising population stable cars,,
E01033578,rising population slowly rising cars,,
E01032764,rising population stable cars,,
E01033579,rising population falling cars,,
E01033489,rising population stable cars,,
W01001949,rising population falling cars,,
E01002724,rising population stable cars,,
E01004714,rising population slowly rising cars,,
E01032740,rising population stable cars,,
E01033595,rising population stable cars,,
E01032778,rising population slowly rising cars,,
E01004761,rising population stable cars,,
E01032779,rising population stable cars,,
E01004736,rising population stable cars,,
E01002407,rising population stable cars,,
E01033582,rising population stable cars,,
E01032675,rising population stable cars,,
E01033731,rising population slowly rising cars,,
E01033208,rising population stable cars,,
W01001939,rising population falling cars,,
E01003102,rising population stable cars,,
E01002583,rising population stable cars,,
E01016482,rising population stable cars,,
W01001873,rising population slowly rising cars,,
E01016555,rising population slowly rising cars,,
E01016012,rising population stable cars,,
W01001941,rising population stable cars,,
E01033730,rising population falling cars,,
W01001943,rising population stable cars,,
E01004506,rising population stable cars,,
E01033358,rising population stable cars,,
E01033418,rising population stable cars,,
W01001947,rising population stable cars,,
E01003033,rising population stable cars,,
E01031912,rising population stable cars,,
E01033420,rising population stable cars,,
E01033352,rising population stable cars,,
E01014537,rising population slowly rising cars,,
E01033359,rising population stable cars,,
E01030755,rising population slowly rising cars,,
E01014594,rising population slowly rising cars,,
E01030685,rising population slowly rising cars,,
E01030350,stable population and cars,,
E01003000,rising population stable cars,,
E01001043,stable population and cars,,
E01002939,rising population stable cars,,
E01004142,rising population slowly rising cars,,
E01032825,rising population stable cars,,
E01033090,rising population falling cars,,
E01032827,rising population stable cars,,
E01030450,stable population falling cars,,
E01024388,rising population falling cars,,
E01032631,rising population stable cars,,
E01031739,rising population stable cars,,
E01032626,rising population stable cars,,
E01031653,rising population falling cars,,
E01031636,rising population stable cars,,
E01031760,rising population stable cars,,
E01032839,rising population stable cars,,
E01032838,rising population stable cars,,
E01017140,stable population and cars,,
E01032746,rising population stable cars,,
E01031490,rising population slowly rising cars,,
E01033380,rising population slowly rising cars,,
E01032833,rising population stable cars,,
E01018899,stable population falling cars,,
